Words,Count
somber,3
broke,8
smile,18
revealed,5
white,44
teeth,16
brilliantly,3
enameled,1
moment,87
roguish,1
cropped,3
head,70
rigid,6
spine,7
let,45
lift,5
higher,8
nearly,16
choked,1
last,69
thrust,2
arm,19
under,49
pillow,4
held,18
lady’s,4
lips,17
lowered,6
gently,1
returned,18
chair,42
curtains,4
sighed,14
place,29
eightytwo,2
great,36
live,35
thirty—forty,1
wouldn’t,58
hard,47
quivered,2
anyone,33
try,10
rejuvenation,2
thirty,5
ago,13
hadn’t,29
discovering,2
i’ve,99
friends,56
children,6
dead,14
nobody,7
left,56
love,139
different,23
kind,18
independent,6
wealthy,1
eight,10
year,26
may,69
less,44
inheritance,5
tax,3
anxiety,4
sell,12
rest,29
grave,3
shouldn’t,21
selling,3
sometimes,25
alone,40
nonsense,8
doesn’t,16
keep,33
aside,10
taxes,3
grounds,2
went,48
ruin,2
greater,4
part,43
house,117
has,90
closed,6
since,48
prices,1
began,13
go,114
income,15
down,103
domain,3
seventeenth,5
century,11
greatgrandfather’s,2
we,93
extravagant,3
improvident,1
race,7
there’s,24
forty,7
acres,1
woodland,1
farms,2
rented,2
folk,1
small,19
fortune,9
securities,2
mr,49
donald,40
over,160
philadelphia,7
talk,41
longer,28
transfer,1
sort,50
law——,1
reckless,2
brilliant,10
softened,4
leaned,4
forward,18
might,79
skip,2
having,10
run,20
poorhouse,1
worse,11
lived,27
mistake,14
character——,1
mischievously,2
talking,14
month,8
something,77
wanted,34
nurse,21
opportunity,9
real,17
moreover—i,1
spit,1
fire,12
away,31
name,14
none,11
sons,2
married,43
except,8
william,1
who,167
without,46
issue,2
yonder,1
thoroughfare,3
fourteen,2
girls,74
childhood,6
during,23
diphtheria,1
epidemic—my,1
violet,1
rose,23
withered,1
unmarried,1
plain,7
countenance,5
such,45
suitors,1
attracted,5
spirit,3
seemed,32
also,21
lacking,3
evelyn,3
measure,6
cut,27
swath,1
new,108
york,46
where,42
sister,10
season,7
suit,11
herself,154
childless—long,1
ask,32
forgotten—like,1
found,45
history,13
jersey,8
key,3
content,8
promise,12
ask—yes,1
insist,3
husband,26
our,34
name——,2
marry,53
harsh,5
twentyseven,1
fond,7
belle—i,1
scalps,1
belt,2
founders,1
city—one,1
group,4
farsighted,1
laughed,22
at—and,1
put,46
penny,1
united,2
states,8
hotel,5
ah,7
gay,9
times,21
scene,14
triumphs,1
people,23
quality,3
resorts,1
those,65
avoid,5
plague,1
hordes,1
boardwalk,22
used,30
wheeled,2
chairs,18
tourists——,1
demanded,11
growing,2
restless,3
public,6
walk,22
tourists,2
want,62
enjoy,10
recalled,5
drew,19
scant,2
together,22
rights,2
coldly,3
merely,45
regret,8
beach,6
promenade,5
fashion,18
welldressed,1
happen,11
undistinguished,1
yourself,43
‘democratic,1
things,53
certainly,38
treatment,1
‘common,1
people—until,1
california,13
gentlemen,5
father’s,5
class,12
mother’s,17
hardly,37
set,44
aristocrats,2
five,13
cents,3
written,5
dire,2
straits,1
living,15
extravagantly,4
europe,12
suspected,6
spending,1
capital,3
visits,5
temporarily,1
lent,1
large,29
sum,2
money,7
refused,9
donald’s,2
reproached,1
